building;[building];;addr:housenumber;name;1;
tourism|attraction;147;
deprecated|deprecated;148;x
deprecated|deprecated;149;x
railway|tram;150;
amenity|toilets;151;
deprecated|deprecated;152;x
highway|footway|permissive;[highway=footway][access=permissive],[highway=footway][foot=permissive];;name;int_name;153;
deprecated|deprecated;154;x
landuse|construction;155;
tourism|viewpoint;156;
amenity|atm;157;
highway|pedestrian|area;[highway=pedestrian][area?];;name;int_name;158;
tourism|picnic_site;159;
shop|supermarket;160;
shop|convenience;161;
shop|bakery;162;
highway|construction;163;
highway|cycleway|bridge;[highway=cycleway][bridge?];;name;int_name;164;
leisure|sports_centre;165;
highway|path|mountain_hiking;[highway=path][sac_scale=mountain_hiking];;name;int_name;166;
tourism|camp_site;167;
highway|bridleway;168;
natural|heath;169;
landuse|basin;170;
amenity|library;171;
natural|wood|coniferous;[natural=wood][wood=coniferous],[natural=wood][leaf_type=coniferous];x;name;int_name;172;landuse|forest|coniferous
landuse|recreation_ground;173;
landuse|village_green;174;
amenity|drinking_water;175;
amenity|university;176;
highway|secondary_link;177;
power|substation;178;
railway|tram_stop;179;
place|city;180;
amenity|shelter;181;
natural|beach;182;
highway|footway|tunnel;[highway=footway][tunnel?];;name;int_name;183;
shop|hairdresser;184;
amenity|hunting_stand;185;
boundary|administrative|9;[boundary=administrative][admin_level=9];;name;int_name;186;
amenity|fountain;187;
deprecated|deprecated;188;x
amenity|bar;189;
landuse|garages;190;
boundary|administrative|2;[boundary=administrative][admin_level=2];;name;int_name;191;
leisure|common;192;
highway|track|bridge;[highway=track][bridge?];;name;int_name;193;
highway|path|bridge;[highway=path][bridge?];;name;int_name;194;
piste:type|nordic;195;
deprecated|deprecated;196;x
railway|crossing;197;
boundary|national_park;198;
natural|wood|deciduous;[natural=wood][wood=deciduous],[natural=wood][leaf_type=deciduous],[natural=wood][leaf_cycle=deciduous];x;name;int_name;199;landuse|forest|deciduous
waterway|dam;200;
deprecated|deprecated;201;x
leisure|golf_course;202;
highway|service|bridge;[highway=service][bridge?];;name;int_name;203;
power|minor_line;204;
natural|wetland|marsh;[natural=wetland][wetland=marsh],[natural=marsh];;name;int_name;205;
leisure|stadium;206;
amenity|doctors;207;
railway|disused;208;
aeroway|runway;209;
railway|halt;210;
addr:interpolation|all;211;x
railway|rail|tunnel;[railway=rail][tunnel?];;name;int_name;212;
man_made|wastewater_plant;213;
deprecated|deprecated;214;x
place|county;215;
deprecated|deprecated;216;x
landuse|conservation;217;x
deprecated|deprecated;218;x
power|station;219;
sport|swimming;220;
leisure|track;221;
deprecated|deprecated;222;x
barrier|retaining_wall;223;
amenity|college;224;
sport|baseball;225;
highway|service|area;[highway=service][area?];;name;int_name;226;
highway|residential|area;[highway=residential][area?];;name;int_name;227;
amenity|bus_station;228;
highway|track|permissive;[highway=track][access=permissive];;name;int_name;229;
waterway|drain|tunnel;[waterway=drain][tunnel?];;name;int_name;230;
landuse|cemetery|christian;[landuse=cemetery][religion=christian];;name;int_name;231;
highway|cycleway|tunnel;[highway=cycleway][tunnel?];;name;int_name;232;
amenity|parking|permissive;[amenity=parking][access=permissive];;name;int_name;233;
boundary|administrative|5;[boundary=administrative][admin_level=5];;name;int_name;234;
highway|unclassified|tunnel;[highway=unclassified][tunnel?];;name;int_name;235;
deprecated|deprecated;236;x
deprecated|deprecated;237;x
highway|residential|tunnel;[highway=residential][tunnel?];;name;int_name;238;
aeroway|helipad;239;
highway|path|permissive;[highway=path][access=permissive];;name;int_name;240;
place|islet;241;
sport|basketball;242;
amenity|cinema;243;
amenity|theatre;244;
deprecated|deprecated;245;x
railway|spur;246;
aerialway|station;247;
landuse|brownfield;248;
aeroway|apron;249;
natural|glacier;250;
amenity|grave_yard;251;
waterway|canal|tunnel;[waterway=canal][tunnel?];;name;int_name;252;
piste:type|downhill|easy;[piste:type=downhill][piste:difficulty=easy];;name;int_name;253;
waterway|ditch|tunnel;[waterway=ditch][tunnel?];;name;int_name;254;
deprecated|deprecated;255;x
piste:type|downhill|intermediate;[piste:type=downhill][piste:difficulty=intermediate];;name;int_name;256;
railway|subway_entrance;257;
deprecated|deprecated;258;x
man_made|pipeline;259;
route|ferry;260;
highway|trunk_link|bridge;[highway=trunk_link][bridge?];;name;int_name;261;
landuse|military;262;
highway|service|tunnel;[highway=service][tunnel?];;name;int_name;263;
railway|light_rail;264;
place|region;265;
railway|narrow_gauge;266;
railway|subway;267;
natural|cave_entrance;268;
highway|tertiary|tunnel;[highway=tertiary][tunnel?];;name;int_name;269;
landuse|landfill;270;
amenity|bicycle_rental;271;
deprecated|deprecated;272;x
highway|tertiary_link;273;
landuse|greenfield;274;
tourism|alpine_hut;275;
highway|footway|area;[highway=footway][area?];;name;int_name;276;
tourism|hostel;277;
waterway|river|tunnel;[waterway=river][tunnel?];;name;int_name;278;
boundary|administrative|county;[boundary=administrative][border_type=county];;name;int_name;279;
highway|road|bridge;[highway=road][bridge?];;name;int_name;280;
boundary|administrative|3;[boundary=administrative][admin_level=3];;name;int_name;281;
deprecated|deprecated;282;x
boundary|administrative;283;
deprecated|deprecated;284;x
deprecated|deprecated;285;x
sport|athletics;286;
landuse|railway;287;
leisure|slipway;288;
tourism|caravan_site;289;
place|state;290;
deprecated|deprecated;291;x
railway|subway|tunnel;[railway=subway][tunnel?];;name;int_name;292;
barrier|city_wall;293;
place|farm;294;
boundary|administrative|11;[boundary=administrative][admin_level=11];;name;int_name;295;
waterway|weir;296;
highway|secondary|tunnel;[highway=secondary][tunnel?];;name;int_name;297;
railway|abandoned|bridge;[railway=abandoned][bridge?];;name;int_name;298;
man_made|lighthouse;299;
highway|path|demanding_mountain_hiking;[highway=path][sac_scale=demanding_mountain_hiking];;name;int_name;300;
deprecated|deprecated;301;x
deprecated|deprecated;302;x
power|generator;303;
highway|pedestrian|bridge;[highway=pedestrian][bridge?];;name;int_name;304;
man_made|pipeline|overground;[man_made=pipeline][location=overground];;name;int_name;305;
deprecated|deprecated;306;x
deprecated|deprecated;307;x
highway|raceway;308;
highway|primary|tunnel;[highway=primary][tunnel?];;name;int_name;309;
highway|primary_link|bridge;[highway=primary_link][bridge?];;name;int_name;310;
landuse|conservation|private;[landuse=conservation][access=private];x;name;int_name;311;
sport|equestrian;312;
tourism|information|office;[tourism=information][office],[tourism=information][information=office];;name;int_name;313;
highway|footway|hiking;[highway=footway][sac_scale=hiking];;name;int_name;314;
aeroway|gate;315;
railway|preserved;316;
highway|path|horse;[highway=path][horse?];;name;int_name;317;
landuse|field;318;
deprecated|deprecated;319;x
leisure|water_park;320;
natural|wetland|bog;[natural=wetland][wetland=bog];;name;int_name;321;
man_made|windmill;322;
military|bunker;323;
aerialway|chair_lift;324;
amenity|grave_yard|christian;[amenity=grave_yard][religion=christian];;name;int_name;325;
highway|trunk|tunnel;[highway=trunk][tunnel?];;name;int_name;326;
highway|steps|tunnel;[highway=steps][tunnel?];;name;int_name;327;
amenity|car_sharing;328;
sport|football;329;
highway|steps|bridge;[highway=steps][bridge?];;name;int_name;330;
highway|track|tunnel;[highway=track][tunnel?];;name;int_name;331;
highway|pedestrian|tunnel;[highway=pedestrian][tunnel?];;name;int_name;332;
power|generator|hydro;[power=generator][power_source=hydro];;name;int_name;333;x
sport|cricket;334;
sport|bowls;335;
highway|path|tunnel;[highway=path][tunnel?];;name;int_name;336;
man_made|breakwater;337;
amenity|parking|permissive|fee;[amenity=parking][access=permissive][fee?];x;name;int_name;338;amenity|parking|permissive
railway|disused|bridge;[railway][disused?][bridge?];x;name;int_name;339;
tourism|zoo;340;
sport|gymnastics;341;
deprecated|deprecated;342;x
railway|subway|bridge;[railway=subway][bridge?];;name;int_name;343;
railway|light_rail|bridge;[railway=light_rail][bridge?];;name;int_name;344;
aeroway|terminal;345;
railway|tram|bridge;[railway=tram][bridge?];;name;int_name;346;
piste:type|downhill|advanced;[piste:type=downhill][piste:difficulty=advanced];;name;int_name;347;
sport|shooting;348;
place|country;349;
highway|path|alpine_hiking;[highway=path][sac_scale=alpine_hiking];;name;int_name;350;
deprecated|deprecated;351;x
sport|scuba_diving;352;
highway|cycleway|permissive;[highway=cycleway][access=permissive];;name;int_name;353;
highway|unclassified|area;[highway=unclassified][area?];;name;int_name;354;
natural|volcano;355;
amenity|parking|underground|fee;[amenity=parking][location=underground][fee?],[amenity=parking][parking=underground][fee?];x;name;int_name;356;amenity|parking|underground
amenity|parking|underground;[amenity=parking][location=underground],[amenity=parking][parking=underground];;name;int_name;357;
deprecated|deprecated;358;x
amenity|parking|multi-storey;[amenity=parking][parking=multi-storey];;name;int_name;359;
leisure|recreation_ground;360;
highway|footway|mountain_hiking;[highway=footway][sac_scale=mountain_hiking];;name;int_name;361;
highway|service|driveway|bridge;[highway=service][service=driveway][bridge?];x;name;int_name;362;highway|service|driveway
amenity|parking|multi-storey|fee;[amenity=parking][parking=multi-storey][fee?];x;name;int_name;363;amenity|parking|multi-storey
leisure|track|area;[leisure=track][area?];x;name;int_name;364;
deprecated|deprecated;365;x
piste:type|downhill|novice;[piste:type=downhill][piste:difficulty=novice];;name;int_name;366;
railway|narrow_gauge|bridge;[railway=narrow_gauge][bridge?];;name;int_name;367;
noexit|motorcar;368;x
deprecated|deprecated;369;x
highway|bridleway|permissive;[highway=bridleway][access=permissive];;name;int_name;370;
railway|construction;371;
deprecated|deprecated;372;x
landuse|greenhouse_horticulture;373;
deprecated|deprecated;374;x
amenity|bureau_de_change;375;
power|generator|photovoltaic;[power=generator][generator:type=photovoltaic];;name;int_name;376;x
deprecated|deprecated;377;x
highway|bridleway|bridge;[highway=bridleway][bridge?];;name;int_name;378;
highway|service|driveway|tunnel;[highway=service][service=driveway][tunnel?];x;name;int_name;379;highway|service|driveway
deprecated|deprecated;380;x
deprecated|deprecated;381;x
railway|narrow_gauge|tunnel;[railway=narrow_gauge][tunnel?];;name;int_name;382;
railway|dismantled;383;x
waterway|dock;384;
deprecated|deprecated;385;x
highway|service|driveway|area;[highway=service][service=driveway][area?];x;name;int_name;386;highway|service|driveway
deprecated|deprecated;387;x
place|city|capital;[place=city][capital?];;name;int_name;388;
aerialway|cable_car;389;
piste:type|downhill;390;
sport|american_football;391;
deprecated|deprecated;392;x
man_made|cairn;393;
railway|preserved|bridge;[railway=preserved][bridge?];;name;int_name;394;
highway|path|demanding_alpine_hiking;[highway=path][sac_scale=demanding_alpine_hiking];;name;int_name;395;
deprecated|deprecated;396;x
highway|secondary_link|bridge;[highway=secondary_link][bridge?];;name;int_name;397;
railway|tram|tunnel;[railway=tram][tunnel?];;name;int_name;398;
deprecated|deprecated;399;x
railway|abandoned|tunnel;[railway=abandoned][tunnel?];;name;int_name;400;
area:highway|living_street;401;
piste:type|sled;402;
deprecated|deprecated;403;x
leisure|dog_park;404;
