# List of additional categories for OSM objects.
# Format: type,id,key1=value1,key2=value2,...
# Example: way,34306743,olympics=stadium

# CIAN, from https://docs.google.com/spreadsheets/d/1-eL6vc107oKAZaZB9joJTqe3W_I8JYQWTZWc5RvB434/edit#gid=1154687572
way,294291606,sponsored=cian,website=https://krasnodar.cian.ru/zhiloy-kompleks-anitsiti-krasnodar-2635/,name=ЖК «Анит-Сити»
way,185408197,sponsored=cian,website=https://krasnodar.cian.ru/zhiloy-kompleks-oazis-posrossiyskiy-8792/,name=ЖК «Оазис»
way,445737482,sponsored=cian,website=https://krasnodar.cian.ru/zhiloy-kompleks-ligovskiy-krasnodar-8326/,name=ЖК «Лиговский»
way,171364569,sponsored=cian,website=https://krasnodar.cian.ru/zhiloy-kompleks-moskovskiy-moskovskiy-mkr-2586/,name=ЖК «Московский»
way,316729687,sponsored=cian,website=https://krasnodar.cian.ru/zhiloy-kompleks-narodnyy-krasnodar-8360/,name=ЖК «Народный»
way,452260155,sponsored=cian,website=https://krasnodar.cian.ru/zhiloy-kompleks-kalinino-park-posrossiyskiy-8311/,name=ЖК «Калинино Парк»
way,477289298,sponsored=cian,website=https://krasnodar.cian.ru/zhiloy-kompleks-zelenaya-dolina-krasnodar-8302/,name=ЖК «Зелёная долина»
way,38492292,sponsored=cian,website=https://krasnodar.cian.ru/zhiloy-kompleks-vostok-pashkovskiy-mkr-2931/,name=ЖК «Восток»
way,500798764,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-zilart-moskva-7889/,name=ЖК «ЗИЛАРТ»
relation,7077320,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-domashniy-moskva-7925/,name=ЖК «Домашний»
way,463746260,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-marshala-zaharova-7-moskva-7485/,name=ЖК «Маршала Захарова 7»
relation,6751362,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-vlyublino-moskva-8017/,name=ЖК «Влюблино»
way,51709815,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-atmosfera-moskva-14734/,name=ЖК «Атмосфера»
way,364857877,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-lefort-moskva-7156/,name=ЖК «Лефорт»
way,51285731,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-reform-moskva-7158/,name=ЖК «Re:Form (РеФорм)»
way,42987782,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-zolotaya-zvezda-moskva-8560/,name=ЖК «Золотая звезда»
relation,6389814,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-petr-i-moskva-7813/,name=ЖК «Пётр I»
way,431672501,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-izmaylovo-lane-moskva-8747/,name=ЖК «Измайлово Lane»
way,35683134,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-izmaylovo-moskva-35833/,name=ЖК «ИзМайЛовО»
relation,6731077,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-perovsky-perovskiy-moskva-8124/,name=ЖК «PerovSky (Перовский)»
way,45876197,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-esenindom-lider-na-volgogradskom-moskva-38257/,name=ЖК «Есенин-дом. Лидер на Волгоградском»
way,48753098,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-river-park-moskva-6178/,name=ЖК «Ривер Парк»
way,170776427,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-zelenyy-bereg-moskva-5303/,name=ЖК «Зеленый берег»
way,299770179,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-caricyno-moskva-5320/,name=ЖК «Царицыно»
way,441598827,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-mosfilmovskiy-moskva-5322/,name=ЖК «Мосфильмовский»
way,48055943,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-nagatinosadovniki-mkr-1-moskva-6206/,name=ЖК «Нагатино-Садовники мкр. 1»
relation,5412379,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-aerolofts-moskva-20200/,name=ЖК «Aerolofts (Аэролофтс)»
way,109234100,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-jazz-moskva-25386/,name=ЖК «Jazz (Джаз)»
way,296400035,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-presnenskiy-val-21-moskva-26655/,name=ЖК «Пресненский вал 21»
relation,3789961,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-layner-moskva-5641/,name=ЖК «Лайнер»
way,472871950,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-chernyahovskogo-19-moskva-20974/,name=ЖК «Черняховского 19»
way,347630299,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-vodnyy-moskva-5495/,name=ЖК «Водный»
way,32499985,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-pokolenie-moskva-8716/,name=ЖК «Поколение»
relation,1516928,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-ulica-kominterna-10-moskva-6787/,name=ЖК «Улица Коминтерна 10»
