Code	Count	#	Symbol
=========================================================
32	2.63775e+007
33	1078
34	18141
35	4875
36	684
37	38
38	29594
39	145842
40	444021
41	443473
42	1879
43	2512
44	44328
45	917744
46	283256
47	97878
48	1.04129e+006
49	1.53276e+006
50	1.07582e+006
51	805568
52	734765
53	740413
54	588316
55	538960
56	480764
57	514731
58	9544
59	23968
60	698
61	214
62	931
63	9128
64	799
65	3.05065e+006
66	2.26648e+006
67	4.51056e+006
68	2.50298e+006
69	1.9772e+006
70	1.0964e+006
71	1.31745e+006
72	2.0873e+006
73	820589
74	565853
75	906954
76	2.52627e+006
77	2.0613e+006
78	1.84455e+006
79	1.0596e+006
80	2.18724e+006
81	99201
82	5.27992e+006
83	6.19591e+006
84	1.63523e+006
85	391713
86	882957
87	2.09539e+006
88	44642
89	188704
90	180761
91	922
92	594
93	916
94	15
95	11381
96	13422
97	1.9889e+007
98	1.94586e+006
99	4.14465e+006
100	8.57581e+006
101	2.54306e+007
102	1.31835e+006
103	4.59159e+006
104	6.11046e+006
105	1.19371e+007
106	491181
107	3.2096e+006
108	1.07951e+007
109	3.32986e+006
110	1.43275e+007
111	1.39791e+007
112	2.08333e+006
113	124428
114	1.67968e+007
115	8.79632e+006
116	1.47733e+007
117	6.29763e+006
118	2.93335e+006
119	2.68004e+006
120	244182
121	3.52269e+006
122	701054
123	67
124	265
125	67
126	160
129	3
130	2
131	2
139	4
144	1
146	2
150	1
157	1
158	1
160	289
161	20
162	2
163	5
164	9
165	1
166	2
167	6
168	11
169	19
170	139
171	484
173	37
174	2
175	3
176	1105
177	3
178	5
179	6
180	572
181	7
182	6
183	104
185	9
186	240
187	482
188	3
190	1
191	72
192	208
193	3012
194	155
195	44
196	3764
197	4377
198	330
199	1338
200	72
201	15151
202	12
203	11
204	7
205	357
206	1351
207	4
208	384
209	192
210	30
211	457
212	125
213	260
214	7384
215	11
216	3472
217	16
218	1250
220	2991
221	10
222	257
223	845126
224	12215
225	88241
226	13325
227	10617
228	210191
229	26478
230	15507
231	10809
232	36252
233	157329
234	6872
235	4414
236	1147
237	59628
238	2744
239	3267
240	3969
241	12301
242	1773
243	52647
244	7471
245	2519
246	143554
248	27795
249	1425
250	13007
251	1765
252	188963
253	7351
254	55
255	24
256	180
257	7519
258	29
259	10417
260	17
261	6007
262	324
263	5758
264	5
265	1
266	22
267	59
268	4246
269	17522
270	74
271	177
272	1959
273	661
274	43
275	1183
277	5
278	2
279	1437
280	8
281	8428
282	1
283	8262
284	3
285	12
286	2
287	1839
288	57
289	42
290	50
291	134
293	5
294	27
295	70
297	228
298	40
299	5600
301	1
302	4
303	6
304	1103
305	6562
307	1
308	2
309	1
310	141
311	358
312	1
313	4
314	11
315	24
316	923
317	174
318	1370
320	3
321	3005
322	33831
323	9
324	11378
325	4
326	1007
327	2
328	2215
331	6
332	229
333	4328
335	18
336	105
337	3244
338	26
339	334
341	42
344	418
345	8780
346	3661
347	7782
348	3
349	7
350	796
351	2869
352	6359
353	18312
354	242
355	684
356	27
357	819
359	3
361	63
362	39
363	2435
364	2
365	42
367	2364
368	8
369	483
370	2
371	1361
373	36
375	30
376	2
377	148
378	979
379	2666
380	5483
381	2616
382	10710
383	1
399	10
417	616
431	8
432	1434
447	1
456	2
462	303
464	111
466	31
468	138
474	1
476	2
482	1
486	2
487	2
510	1
535	6
